	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_10_0.txt	10	0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0	23.0	55.0
alpha_rarefaction_10_1.txt	10	1	23.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	12.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	23.0	23.0	13.0	23.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_2.txt	10	2	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	23.0	23.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_3.txt	10	3	23.0	55.0	55.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0
alpha_rarefaction_10_4.txt	10	4	23.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	23.0	22.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	29.0	13.0	55.0	23.0	29.0	55.0	55.0	55.0
alpha_rarefaction_10_5.txt	10	5	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	29.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	13.0
alpha_rarefaction_10_6.txt	10	6	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	23.0	55.0
alpha_rarefaction_10_7.txt	10	7	55.0	55.0	55.0	55.0	55.0	29.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	29.0	23.0	55.0	23.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	13.0	29.0	23.0
alpha_rarefaction_10_8.txt	10	8	55.0	55.0	13.0	55.0	55.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0	23.0	23.0	55.0	23.0	55.0	23.0	55.0	55.0	55.0	55.0	23.0	55.0	22.0	55.0	55.0	23.0	55.0
alpha_rarefaction_10_9.txt	10	9	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	13.0	55.0	55.0	55.0	55.0	29.0	23.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0
alpha_rarefaction_3409_0.txt	3409	0	2101.50943396	1563.59285714	1816.79640719	1681.18120805	1886.08227848	1747.25555556	1638.17391304	1521.625	1736.45098039	1866.20338983	1725.01796407	1697.16393443	1720.22147651	1947.98265896	1642.85714286	1540.74213836	1910.43712575	1485.27516779	1790.02538071	1958.01363636	1795.03529412	1729.33950617	1645.88829787	1697.85294118	1566.25396825	1573.56818182	1867.93491124	1587.61267606	1660.13475177
alpha_rarefaction_3409_1.txt	3409	1	1846.61413043	1578.76433121	1865.89240506	1696.9125	1746.55747126	1743.1741573	1733.16969697	1656.95934959	1708.06875	1837.11111111	1851.51204819	1797.05847953	1662.48076923	1845.31481481	1750.40331492	1706.46153846	1807.54491018	1490.25280899	1864.6779661	2144.48148148	1794.89285714	1943.21374046	1777.80555556	1799.25728155	1606.15168539	1702.00613497	1807.05128205	1514.15942029	1447.88549618
alpha_rarefaction_3409_2.txt	3409	2	1854.00595238	1401.5625	1748.16766467	1565.45283019	1810.86503067	1835.01639344	1604.0	1606.44295302	1628.89156627	1899.22413793	1820.98823529	1817.0	1668.31506849	2081.75	1744.32065217	1441.40677966	1998.03012048	1642.67948718	1795.83606557	2024.57352941	1775.58659218	1610.84375	1773.66298343	1901.34969325	1655.20571429	1666.59259259	1784.96875	1427.06060606	1447.41666667
alpha_rarefaction_3409_3.txt	3409	3	1749.21621622	1584.71428571	1808.17283951	1749.61935484	1749.12	1791.92432432	1713.11643836	1531.36423841	1779.16568047	2148.96875	1694.95348837	1698.04819277	1641.64583333	2010.04790419	2006.40740741	1619.52	1887.0862069	1595.1626506	1805.08290155	2106.655	1767.03508772	1742.00689655	1838.41509434	1943.11111111	1557.69375	1698.91772152	1722.38461538	1589.94594595	1384.61363636
